ID	s10	s1	s2	s3	s4	s5	s6	s7	s8	s9
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_rhinitidis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	1.17961	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_rhinitidis|t__GCF_000246925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	1.17961	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73573
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73573
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73573
k__Bacteria|p__Firmicutes|c__Negativicutes	21.98944	5.42412	0.0	9.81396	12.89368	0.12538	0.0	0.55671	5.45821	8.95615
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	21.98944	5.42412	0.0	9.81396	12.89368	0.12538	0.0	0.55671	5.45821	8.95615
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	21.98944	5.42412	0.0	9.81396	12.89368	0.12538	0.0	0.55671	5.45821	8.95615
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	21.98944	5.42412	0.0	9.81396	12.89368	0.12538	0.0	0.55671	5.45821	8.95615
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.00688	1.01945	0.0	0.0	0.0	0.00319	0.0	0.11223	1.20912	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__Veillonella_atypica_unclassified	0.00688	1.01945	0.0	0.0	0.0	0.00319	0.0	0.11223	1.20912	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	2.35922	0.26157	0.0	0.77091	0.8146	0.00544	0.0	0.02385	0.01164	0.40345
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__GCF_000160015	2.35922	0.26157	0.0	0.77091	0.8146	0.00544	0.0	0.02385	0.01164	0.40345
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	4.7881	1.2419	0.0	0.85223	1.26793	0.01934	0.0	0.13408	0.10663	2.55929
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified	4.7881	1.2419	0.0	0.85223	1.26793	0.01934	0.0	0.13408	0.10663	2.55929
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	14.83524	2.9012	0.0	8.19082	10.81114	0.09742	0.0	0.28654	4.13082	5.9934
