clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	12561	13976	15832	15920	28306	16602	12149	7992	11450	12451	11110	7385	10530	61597	5675	24600	1723	8523	4201
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	11468	130039	30669	71490	21206	19024	106891	26699	103315	20636	114271	455097	69149	11951	109970	4196	14102	115923	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	10729	11874	14755	12706	18840	8911	15417	6856	10548	6578	101070	7486	7690	25609	11926	54544	5655	29026	19775
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	15939	0	11959	0	24064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	4487	0	0	1079	0	977	344	0	0	0	0	0	314	1568	373	266	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	5951	0	0	0	0	23021	0	0	0	0	1907	0	22058	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	10271	489466	490876	225082	195234	78699	92728	133981	117465	142139	477749	287369	581759	81851	29381	7835	31316	84342	1059171
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	8492	36303	203531	9654	4288	8950	5241	2098	53186	15632	28460	5655	143243	115953	0	15629	0	58739	2751
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	3336	0	7668	0	0	108	0	4412	2558	1695	0	0	0	4545	0	0	0	10870	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomo0dales|f__Selenomo0daceae|g__Mitsuokella	2823	0	0	0	3567	1533	0	0	0	0	57659	0	0	25821	0	0	0	0	0
